#Coordinates  RecID  LigID  Luciferin  Neighbor's number  Vision Range  Scoring
(-26.5312726,  0.2247869, 28.9724414,  0.3712145,  0.3197103, -0.6252318, -0.6075116)    0    0  20.43766976 22 0.000  13.47488496
(-22.4819685,  3.7890963, 28.8596072,  0.2375702,  0.2411705, -0.6525101, -0.6779586)    0    0  23.56190477  3 0.560  16.41257024
(-26.3012771,  0.0464504, 29.0842862,  0.3712523,  0.3197071, -0.6252293, -0.6074927)    0    0  21.14796393  0 0.400  14.34631795
(-26.6026245, -3.8361226, 18.1851624,  0.7449423, -0.2586797,  0.3327447,  0.5171330)    0    0  -7.13261742  1 5.000  -5.05959660
(-26.2989070,  0.1148518, 29.2545336,  0.3711906,  0.3198293, -0.6252049, -0.6074912)    0    0  20.19349022 32 0.000  13.14129174
(-23.0575268, -6.9053399, 31.5388044,  0.7973647,  0.4025165,  0.1729955,  0.4150453)    0    0  28.83287883  4 0.640  19.30201901
(-30.5218464, -8.5637826, 25.2786193,  0.1650614, -0.3819810,  0.6325879,  0.6532058)    0    0   4.85509143  5 0.760   4.70910059
(-25.9966054,  0.0427275, 29.2005724,  0.3711774,  0.3197963, -0.6252116, -0.6075098)    0    0  21.11594863  9 0.080  14.15666479
(-26.5380770,  0.2221696, 29.2028749,  0.3712269,  0.3197118, -0.6252302, -0.6075048)    0    0  20.54314509  9 0.080  13.54410152
(-26.2240769,  0.1291423, 29.1141157,  0.3711614,  0.3198364, -0.6252022, -0.6075082)    0    0  21.14329683  7 0.400  13.95733257
(-28.1144010,  1.4731364, 19.5368033,  0.7908653, -0.2217967,  0.3814474,  0.4240709)    0    0  -5.53310148  6 0.480  -3.47008274
(-22.9948567, -7.0584789, 31.5314828,  0.7973647,  0.4025165,  0.1729955,  0.4150453)    0    0  28.98829231  2 1.920  19.41447195
(-27.7225578,  1.1908475, 19.2174630,  0.7908686, -0.2217944,  0.3814440,  0.4240691)    0    0  -5.84721820  0 0.400  -3.68887651
(-23.3780542, -7.0780104, 31.5965182,  0.7973647,  0.4025167,  0.1729952,  0.4150453)    0    0  28.35568464  0 0.640  18.72347542
